,cmp,Publication.numbers,Title,English.abstract,Main.IPC.Code,category,concept,max_TFIDF
18,cmp,CN106112791,"
Titanium alloy grinding and chemical-mechanical polishing method","
The invention discloses a titanium alloy grinding and chemical-mechanical polishing method and belongs to the technical field of ultra-precision machining of metal alloy.When solidified abrasive material is ground, the grinding time of aluminium oxide waterproof abrasive paper with the size of 26 microns and 16 microns is 4-6 minutes, and the grinding time of aluminium oxide waterproof abrasive paper with the size of 10 microns and 4 microns is 14-20 minutes.During grinding, the revolving speed of a grinding disc and a workpiece is 50-80 rpm, the loading method is balancing weight or weight, and the grinding pressure is 22-30 kPa.When chemical-mechanical polishing is carried out, a polishing pad is a black villus polishing pad, the polishing pressure is 65-80 kPa, the revolving speed of a polishing disc and a workpiece is 65-85 rpm, and the polishing time is 14-20 min; polishing solution contains ludox, an oxidizing agent, a complexing agent and deionized water, the oxidizing agent is hydrogen peroxide, and the complexing agent is malic acid or citric acid; the weight percentage of the ludox abrasive material is 18-25%, the weight percentage of hydrogen peroxide is 40-50%, the weight percentage of hydrogen peroxide in the polishing solution is 4-6%, and the pH value of the polishing solution is 4.2-4.8.With adoption of the method, ultraprecise polishing of titanium alloy is realized.",B24B-037/00,Process,time min,0.028771418
19,cmp,CN106078487,"
Fixed abrasive grinding and chemical-mechanical polishing method for nickel-base alloy","
The invention discloses a fixed abrasive grinding and chemical-mechanical polishing method for nickel-base alloy, and belongs to the technical field of ultra-precision machining of alloy.Silicon carbide waterproof abrasive paper serves as a grinding tool, and grinding liquid is deionized water.A polishing pad is fuzzy damping cloth, the polishing pressure is 40-60 kPa, the polishing time is 5-12 min, and the rotation speed of a polishing plate and the rotation speed of a workpiece are 61 rpm and 59 rpm correspondingly.Chemical-mechanical polishing is divided into a rough polishing stage and a finish polishing stage.During rough polishing, polishing abrasive particles are aluminum oxide, the size is 60-100 nm, and polishing liquid is deionized water.During finish polishing, polishing liquid contains silica sol, malic acid, hydrogen peroxide and deionized water, and the pH value of the polishing liquid is 3-4.After chemical-mechanical polishing, the surface roughness Ra of the nickel-base alloy is 0.45 nm, and the PV value is 4.4 nm.The ultra-precision polishing method for the nickel-base alloy is realized, the silicon carbide waterproof abrasive paper serves as the fixed abrasive grinding tool, the silica sol, the malic acid, the hydrogen peroxide and the deionized water serve as the polishing liquid, and ultra-precision polishing for the nickel-base alloy is realized.",B24B-037/00,Slurry,fix abras grind,0.064786597
20,cmp,US2016303703,"
Scanning Chemical Mechanical Polishing","
A new system design for chemical mechanical polishing (CMP) is used in semiconductor microchip manufacturing.In this new design, a wafer is placed on a vacuumed stage facing up, and the wafer surface is polished by a small size polishing pad assembled to a head which sweeps back and forth across the wafer.This new design differs from a conventional CMP system which holds a wafer facing down in a head while applying the pressure to the backside of the wafer, and pushes it onto on a big platen covered with a polishing pad.This new design eliminates the complicated multiple-zone head and its expensive components, while it provides a much robust way of profile turning which is critical to the performance of microchips.This new design also minimizes the usage of consumables and therefore greatly reduces the cost of manufacturing.",B24B-037/20,Apparatus,head,0.033826601
21,cmp,"TW201634134
US2016293402
CN106024580
US9610615
TWI581872","
Method and system for cleansing wafer in CMP process of semiconductor manufacturing fabrication","
A method for cleaning a semiconductor wafer after a Chemical Mechanical Polishing (CMP) process is provided.The method includes providing the semiconductor wafer into a cleaning module.The method further includes cleaning the semiconductor wafer by rotating a cleaning brush assembly.The method also includes applying an agitated cleaning liquid to clean the cleaning brush assembly.",B08B-001/04,Apparatus,clean,0.128416068
22,cmp,IN3471/CHE/2013,"
A novel abrasive free chemical mechanical planarization (afcmp) of nonpolar and semi polar iii-v nitride surfaces","
A novel abrasive free chemical mechanical planarization (AFCMP) of non-polar and semipolar iii-v nitride surfaces is disclosed.In one implementation, a novel single step abrasive free (free of externally added abrasive particles) chemical mechanical polishing (AFCMP) of non-polar and semipolar III-V nitride surfaces, such as GaN, AlN, and AlGaN.Using a liquid carrier and an oxidizing agent including transition metal and per-based compound, a slurry pH of 2-6, a polishing pressure of 4-8 psi, platen velocity of 90-120 rpm, and a slurry flow rate of 10-30 ml/min polished nitride surfaces have been obtained with a material removal rate of more than 1000 nm/hr and rms surface roughness of less than 10 over 10 m X 10 m scan area.",C07C,Apparatus,control slurri flow,0.021091
23,cmp,"WO2016140246
TW201641660","
Cmp polishing liquid and polishing method in which same is used","
A CMP polishing liquid for polishing a ruthenium-based metal, wherein: the CMP polishing liquid contains abrasive grains, a metal oxidant, and water; the metal oxidant has an oxidation-reduction potential accompanied by exchange of hydroxide ions; the oxidation-reduction potential being 0.68V or above in relation to the standard hydrogen electrode; the pH of the CMP polishing liquid is 7.0-13.0; and the abrasive grain content is at least 0.10 mass parts to 100 mass parts of the total of the abrasive grain content and the water content.",C09K-003/14,Slurry,grind liquid cmp,0.033167982
24,cmp,"US2016236320
TW201630689","
Chemical mechanical polishing conditioner","
Provided is a CMP conditioner comprising: a substrate, multiple abrasive bars, and multiple slide blocks.The substrate is divided into a central surface and an outer surface.The central surface is a recessed part.The outer surface encompasses the central surface.Multiple mounting holes are recessed from the outer surface.The abrasive bars are each respectively mounted in the mounting holes.Each of the multiple abrasive bars comprises a bar body and an abrasive particle.The abrasive particle is mounted on a top surface of the abrasive bar.The multiple slide blocks are distributed among the mounting holes of the outer surface.Each of the multiple slide blocks comprises a slide dressing surface.The present invention utilizes the slide blocks to reduce the contact between the substrate and a polishing mat efficiently.The slide blocks may decrease dissolving out of metal components within the substrate and the pollution induced.",B24B-053/12,Dresser,slide dress,0.084490385
25,cmp,"WO2008117573
TW200845175","
Aqueous dispersion for chemical mechanical polishing, kit for preparing the aqueous dispersion, chemical mechanical polishing method, and method for manufacturing semiconductor device","
Disclosed is an aqueous dispersion for chemical mechanical polishing, which contains (A) a water-soluble polymer having at least one group selected from amino groups and cationic functional groups in a side chain, (B) an oxidizing agent, (C) at least one compound other than the component (A) which is selected from amino acids, organic acids and inorganic acids, and (D) abrasive grains.",H01L-021/304,Slurry,aforement liquid,0.051831479
26,cmp,"WO2008004534
TW200813203
KR20090018202
CN101484982
US2009283715
TWI351431","
Polishing liquid for cmp","
Disclosed is a polishing liquid for CMP comprising abrasive grains and a fang/seam suppressing agent.The fang/seam suppressing agent is composed of at least one substance selected from the group consisting of polycarboxylic acids, polycarboxylic acid derivatives and carboxylic acid-containing copolymers.Consequently, the polishing liquid for CMP is able to suppress the fang phenomenon and the seam phenomenon wherein an insulating film near the wiring is excessively polished, thereby giving a polished surface having high planarity.",C09G-001/02,Slurry,liquid cmp,0.06457046
27,cmp,"WO2004068570
TW200425316
KR20050095777
CN1745460
US2006148667
KR100663781
TWI276169
CN100377310
JP2010028125
US7838482
US2011028073
US8168541
JP5110058","
Cmp polishing compound and polishing method","
A CMP polishing compound which comprises cerium oxide particles, a dispersant, a water-soluble polymer and water, wherein the water-soluble polymer is a compound having a skeleton of either of an N-mono-substituted compound and an N,N-di-substituted compound of any of the group consisting of acrylamide, methacrylamide and an alpha-substituted compound thereof; and a polishing method comprising using the polishing compound.The polishing compound preferably contains the water-soluble polymer in an amount of 0.01 to 10 parts by weight relative to 100 parts by weight of the compound.The polishing compound can be used for performing a CMP polishing with good efficiency and high speed, and also with easy process control, in a CMP technology for flattening an interlayer insulating film, a BPSG film, an insulation film for shallow trench isolation and the like.",H01L-021/304,Apparatus,control cmp,0.010238945
28,cmp,"WO2007123235
TW200802580
KR20080108574
EP2020680
US2009094901
CN101432854
CN101432854
EP2020680
TWI350564","
Polishing liquid for cmp and method of polishing","
A CMP polishing liquid being capable of using in a chemical mechanical polishing comprising of: a first chemical mechanical polishing step of polishing a conductive substance layer of a substrate having an interlayer insulation film containing convex and concave regions on a surface thereof, a barrier layer coating along the surface of the interlayer insulation film, and the conductive substance layer coating the barrier layer while filling the concave regions, and thus exposing the barrier layer in the convex regions; and a second chemical mechanical polishing step of exposing the interlayer insulation film in the convex regions by polishing the barrier layer exposed in the first chemical mechanical polishing step; characterized in that a difference (B)-(A) is 650 ? or less , wherein the (A) is a polishing amount of the interlayer insulation film in a field area when the interlayer insulation film in the field area having a width of 1,000 ?m or more of the interlayer insulation film region formed on the substrate is polished to a depth of 400 ? or more; and the (B) is a polishing amount of the interlayer insulation film in a stripe-shaped patterned area having a total width of 1, 000 ?m or more wherein a wiring metal region having a width of 90 ?m and the interlayer insulation film region having a width of 10 ?m are aligned alternately on the substrate when the interlayer insulation film in the field area having the width of 1, 000 ?m or more of the interlayer insulation film region formed on the substrate is polished to a depth of 400 ? or more .",H01L-021/304,Slurry,cmp polish liquid,0.038204235
29,cmp,"TWI535835
TW201629181
CN105862044","
Chemical mechanical polishing slurry","
The invention discloses a chemical mechanical polishing slurry with ph value 8.5-13.5; the chemical mechanical polishing slurry is used for polishing stainless steel substrate, and comprises 10-50wt% of grinding particles, 0.001-2.0 wt% of coolant, 0.001-1.0wt% of oxidizing agent, 10-5000ppm of lubrication lifting agent, and 10-5000ppm of foaming inhibitor, wherein the grinding particle diameter is 20-500nm.The alkaline polishing slurry can improve polishing effect after chemical mechanical polish, can improve surface quality, and provides surface protection benefits after polishing.",C23F-003/04,Slurry,mechan polish slurri,0.051641113
30,cmp,"WO2016102531
TW201631111","
Use of a chemical mechanical polishing (cmp) composition for polishing of cobalt and/or cobalt alloy comprising substrates","
Use of a chemical mechanical polishing (CMP) composition (Q) for chemical mechanical polishing of a substrate (S) comprising (i) cobalt and/or (ii) a cobalt alloy, wherein the CMP composition (Q) comprises (A) Inorganic particles, (B) a substituted aromatic compound with at least one carboxylic acid function as corrosion inhibitor, (C) at least one amino acid, (D) at least one oxidizer, (E) an aqueous medium, wherein the CMP composition (Q) has a pH of from 7 to 10.",C09K-003/14,Slurry,compound carboxyl acid,0.038286154
31,cmp,"WO2016102279
TW201631110","
Use of a chemical mechanical polishing (cmp) composition for polishing of cobalt and / or co-balt alloy comprising substrates","
Use of a chemical mechanical polishing (CMP) composition for polishing of cobalt and / or co-balt alloy comprising substrates Abstract Use of a chemical mechanical polishing (CMP) composition (Q) for chemical mechanical polishing of a substrate (S) comprising (i) cobalt and/or (ii) a cobalt alloy, wherein the CMP composition (Q) comprises (A) Inorganic particles (B) a substituted tetrazole derivative of the general formula (I), wherein R1 is H, hydroxy, alkyl, aryl, alkylaryl, amino, carboxyl, alkylcarboxyl, thio or alkylthio. (C) at least one amino acid (D) at least one oxidizer, (E) an aqueous medium and wherein the CMP composition (Q) has a pH of from 7 to 10.",C09K-003/14,Process,wt wt base,0.031530565
32,cmp,"WO2016102204
TW201629168","
Use of a chemical mechanical polishing (cmp) composition for polishing of cobalt and / or cobalt alloy comprising substrates","
Use of a chemical mechanical polishing (CMP) composition (Q) for chemical mechanical polishing of a substrate (S) comprising (i) cobalt and/or (ii) a cobalt alloy, wherein the CMP composition (Q) comprises (A) Inorganic particles (B) a triazine derivative of the general formula (I) wherein R1, R2, R3, R4, R5 and R6 are independently from each other H, methyl, ethyl, propyl, butyl, pentyl, C2-C10-alkylcarboxylic acid, hydroxymethyl, vinyl or allyl (C) at least one amino acid, (D) at least one oxidizer (E) an aqueous medium and wherein the CMP composition (Q) has a pH of from 7 to 10.",C09G-001/02,Process,wt wt base,0.031883041
33,cmp,"WO2016098817
TW201627466","
Cmp polishing liquid and polishing method using same","
A CMP polishing liquid that is used to polish a surface to be polished that has at least a cobalt-containing section and a metal-containing section that contains a metal that is not cobalt.The CMP polishing liquid contains polishing particles, two types of metal corrosion inhibitors, and water, and has a pH of 4.0 or less.The two types of metal corrosion inhibitors are both azoles (excluding salts of inorganic acids).",C09K-003/14,Slurry,grind liquid cmp,0.028637241
34,cmp,"WO2016097915
TW201700706","
Chemical mechanical polishing (cmp) composition for high effective polishing of substrates comprising germanium","
A chemical mechanical polishing (CMP) composition (Q) comprising: (A) inorganic particles, (B) a compound of general formula (I) (C) an aqueous medium wherein the composition (Q) has a pH of from 2 to 6.",C09K-003/14,Process,medium composit ph,0.013276067
35,cmp,JP2016100477,"
Chemical mechanical polishing method","
PROBLEM TO BE SOLVED: To provide a chemical mechanical polishing method for polishing a silicon carbide substrate having a step terrace structure with an oxidizer, which enables the polishing in a short time.SOLUTION: A chemical mechanical polishing method comprises: a step for supplying a substrate W with slurry including at least an oxidizer; and a polishing step for polishing the substrate W in a state in which a direction D1 of mounting a step terrace structure of the substrate is made to be substantially coincide with a polishing direction D2 of the substrate.The silicon carbide substrate is polished smoothly by making the direction of mounting the step terrace structure of silicon carbide substantially coincide with the polishing direction and therefore, the silicon carbide substrate can be polished in a short time.SELECTED DRAWING: Figure 6",H01L-021/304,Process,grind process,0.061425183
36,cmp,CN105563341,"
Ultraviolet catalyst method for CMP polishing liquid","
The invention discloses a ultraviolet catalyst method for CMP polishing liquid.An N type semiconductor particle catalyst is added in the polishing liquid; a wafer is clamped by using a rotating polishing head, and is chemically and mechanically polished on a polishing disc; and in the chemical and mechanical polishing process, ultraviolet rays are used for irradiating the polishing liquid flowing between the wafer and the polishing disc, so that the N type semiconductor particle catalyst in the polishing liquid is catalytically oxidized by the ultraviolet rays to form an oxide substance for accelerating polishing.According to the ultraviolet catalyst method for the CMP polishing liquid, the N type semiconductor particle catalyst is added in the polishing liquid, and the ultraviolet rays are used for irradiating the polishing liquid in the polishing process, so that the N type semiconductor particle catalyst in the polishing liquid can be catalytically oxidized to form the oxide substance for accelerating polishing, the material removal rate can be increased, and an even surface can be quickly obtained.",B24B-057/02,Slurry,semiconductor particl,0.061427714
37,cmp,"TW201615798
US2016122590
KR20160051649
JP2016108542
TWI577788","
Chemical Mechanical Polishing Slurry for Reducing Corrosion and Method of Use Therefor","
Slurries and associated methods and systems for the chemical mechanical planarization (CMP) of tungsten-containing films on semiconductor wafers are described.The slurries comprise abrasive particles, activator-containing particles, peroxygen oxidizer, pH adjustor, and the remaining being water.The slurries have a pH in the range of 4 to 10; preferably 5 to 9; more preferably 6 to 8.",C09K-003/14,Slurry,activatorcontain particl,0.035674357
38,cmp,"US2016101500
WO2016057075","
Chemical mechanical polishing pad with internal channels","
A polishing pad for chemical mechanical polishing is provided.The polishing pad includes a base region having a supporting surface.The polishing pad further includes a plurality of polishing features forming a polishing surface, the polishing surface opposing the supporting surface.The polishing pad further includes one or more channels formed in an interior region of the polishing pad and extending at least partly around a center of the polishing pad, wherein each channel is fluidly coupled to at least one port.",B24B-037/26,Apparatus,polish devic,0.009036336
39,cmp,CN105470122,"
SiC thinning method","
The invention relates to the semiconductor device manufacturing field, and provides a SiC thinning method.The method includes the following steps: evenly coating the front side of a SiC wafer with a photoresist; sticking sapphire to the photoresist through high temperature glue; installing the sapphire on a thinning apparatus, and thinning the back side of the SiC wafer through a crude diamond sandstone wheel; thinning the back side of the SiC wafer through a fine diamond sandstone wheel; arranging the SiC wafer on a rotating polishing cushion, wherein the back side of the SiC wafer abuts against the polishing cushion and a polishing head is pressed onto the front side of the SiC wafer; and injecting a polishing solution onto the polishing cushion from one side of the SiC wafer to conduct CMP thinning.A front-side device is prevented from being damaged by vertical tangential force simply through mechanical grinding.SiC flattening is achieved, physical damage to the back side of the wafer is minimized, the roughness and the fragment rate of the back side of the wafer are reduced, scratches or the like on the back side of the wafer are eliminated, and a next process is facilitated.",H01L-021/304,Apparatus,polish head,0.011013961
40,cmp,"WO2014179419
WO2014179419
US2016090513","
Chemical mechanical planarization slurry composition comprising composite particles, process for removing material using said composition, cmp polishing pad and process for preparing said composition","
CMP processes, tools and slurries utilize composite particles that include core particles having organosilica particles disposed about the core particles.Using these processes, tools and slurries can enhance removal rates, reduce defectivity and increase cleanability with respect to comparable systems and substrates.",C09G-001/02,Slurry,composit particl,0.039147086
41,cmp,KR20160032786,"
Method for decreasing defects of silicon-carbide substrate","
Disclosed is a method for decreasing the defects of a silicon-carbide substrate.An embodiment of the present invention provides a method for decreasing the defects of a silicon-carbide substrate in a process of manufacturing the silicon-carbide substrate which includes a polishing step using chemical mechanical polishing (CMP) slurry.The method includes a step of filtering the slurry by using at least two mesh filters with different sizes, before the polishing step.",H01L-029/16,Process,annual pressur,0.023857487
